"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
16:00:00 04/06/2024,      17.044,    130, 
17:00:00 04/06/2024,      17.100,    130, 
18:00:00 04/06/2024,      17.044,    130, 
19:00:00 04/06/2024,      17.212,    130, 
20:00:00 04/06/2024,      16.934,    130, 
21:00:00 04/06/2024,      17.100,    130, 
22:00:00 04/06/2024,      17.268,    130, 
23:00:00 04/06/2024,      17.044,    130, 
00:00:00 05/06/2024,      17.212,    130, 
01:00:00 05/06/2024,      17.044,    130, 
02:00:00 05/06/2024,      17.212,    130, 
03:00:00 05/06/2024,      16.989,    130, 
04:00:00 05/06/2024,      17.212,    130, 
05:00:00 05/06/2024,      16.879,    130, 
06:00:00 05/06/2024,      17.100,    130, 
07:00:00 05/06/2024,      16.824,    130, 
08:00:00 05/06/2024,      17.156,    130, 
08:25:00 05/06/2024,      17.380,    130, 
09:00:00 05/06/2024,      16.879,    130, 
10:00:00 05/06/2024,      16.824,    130, 
11:00:00 05/06/2024,      17.268,    130, 
12:00:00 05/06/2024,      17.044,    130, 
13:00:00 05/06/2024,      17.212,    130, 
14:00:00 05/06/2024,      16.989,    130, 
15:00:00 05/06/2024,      16.879,    130, 
16:00:00 05/06/2024,      16.989,    130, 
17:00:00 05/06/2024,      16.989,    130, 
18:00:00 05/06/2024,      17.044,    130, 
19:00:00 05/06/2024,      16.660,    130, 
20:00:00 05/06/2024,      16.714,    130, 
21:00:00 05/06/2024,      16.934,    130, 
22:00:00 05/06/2024,      16.605,    130, 
23:00:00 05/06/2024,      16.714,    130, 
00:00:00 06/06/2024,      16.934,    130, 
01:00:00 06/06/2024,      16.714,    130, 
02:00:00 06/06/2024,      16.879,    130, 
03:00:00 06/06/2024,      16.660,    130, 
04:00:00 06/06/2024,      16.769,    130, 
05:00:00 06/06/2024,      16.660,    130, 
06:00:00 06/06/2024,      16.660,    130, 
07:00:00 06/06/2024,      16.824,    130, 
08:00:00 06/06/2024,      16.660,    130, 
09:00:00 06/06/2024,      16.824,    130, 
10:00:00 06/06/2024,      16.769,    130, 
11:00:00 06/06/2024,      16.934,    130, 
12:00:00 06/06/2024,      16.934,    130, 
13:00:00 06/06/2024,      16.714,    130, 
14:00:00 06/06/2024,      16.824,    130, 
15:00:00 06/06/2024,      16.934,    130, 
16:00:00 06/06/2024,      16.879,    130, 
17:00:00 06/06/2024,      16.551,    130, 
18:00:00 06/06/2024,      16.660,    130, 
19:00:00 06/06/2024,      16.714,    130, 
20:00:00 06/06/2024,      16.769,    130, 
21:00:00 06/06/2024,      16.824,    130, 
22:00:00 06/06/2024,      16.769,    130, 
23:00:00 06/06/2024,      16.879,    130, 
00:00:00 07/06/2024,      16.714,    130, 
01:00:00 07/06/2024,      16.879,    130, 
02:00:00 07/06/2024,      17.044,    130, 
03:00:00 07/06/2024,      16.769,    130, 
04:00:00 07/06/2024,      16.934,    130, 
05:00:00 07/06/2024,      17.044,    130, 
06:00:00 07/06/2024,      16.769,    130, 
07:00:00 07/06/2024,      16.879,    130, 
08:00:00 07/06/2024,      17.100,    130, 
09:00:00 07/06/2024,      16.879,    130, 
10:00:00 07/06/2024,      17.100,    130, 
11:00:00 07/06/2024,      17.212,    130, 
12:00:00 07/06/2024,      17.268,    130, 
13:00:00 07/06/2024,      17.212,    130, 
14:00:00 07/06/2024,      17.156,    130, 
15:00:00 07/06/2024,      17.268,    130, 
16:00:00 07/06/2024,      17.212,    130, 
17:00:00 07/06/2024,      17.044,    130, 
18:00:00 07/06/2024,      17.156,    130, 
19:00:00 07/06/2024,      17.100,    130, 
20:00:00 07/06/2024,      17.100,    130, 
21:00:00 07/06/2024,      17.156,    130, 
22:00:00 07/06/2024,      17.156,    130, 
23:00:00 07/06/2024,      17.156,    130, 
00:00:00 08/06/2024,      17.268,    130, 
01:00:00 08/06/2024,      17.268,    130, 
02:00:00 08/06/2024,      17.212,    130, 
03:00:00 08/06/2024,      17.380,    130, 
04:00:00 08/06/2024,      17.100,    130, 
05:00:00 08/06/2024,      17.156,    130, 
06:00:00 08/06/2024,      17.156,    130, 
07:00:00 08/06/2024,      17.156,    130, 
08:00:00 08/06/2024,      17.324,    130, 
09:00:00 08/06/2024,      17.100,    130, 
10:00:00 08/06/2024,      17.212,    130, 
11:00:00 08/06/2024,      17.380,    130, 
12:00:00 08/06/2024,      17.436,    130, 
13:00:00 08/06/2024,      17.212,    130, 
14:00:00 08/06/2024,      17.324,    130, 
15:00:00 08/06/2024,      17.268,    130, 
16:00:00 08/06/2024,      17.268,    130, 
17:00:00 08/06/2024,      17.436,    130, 
18:00:00 08/06/2024,      17.324,    130, 
19:00:00 08/06/2024,      17.436,    130, 
20:00:00 08/06/2024,      17.268,    130, 
21:00:00 08/06/2024,      17.212,    130, 
22:00:00 08/06/2024,      17.324,    130, 
23:00:00 08/06/2024,      17.156,    130, 
00:00:00 09/06/2024,      17.044,    130, 
