"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Mangroves",930.6,45.46351,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Mangroves",929.2,45.39587,-1.4,-0.15,58
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Mangroves and Saltmarshes Combined",1090.4,53.26906,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,-138.8,-12.73,18
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48597,0,0,81
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Mangroves and Saltmarshes Combined",951.5,46.48596,0,0,80
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Mangroves and Saltmarshes Combined",951.4,46.4784,-0.2,-0.02,77
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Mangroves and Saltmarshes Combined",951.4,46.4784,0,0,80
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Mangroves and Saltmarshes Combined",951.4,46.4784,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Mangroves and Saltmarshes Combined",951.4,46.4784,0,0,80
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Mangroves and Saltmarshes Combined",951.4,46.4784,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Mangroves and Saltmarshes Combined",950,46.41076,-1.4,-0.15,59
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Non-Remnant Vegetation",0,0,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Non-Remnant Vegetation",684.3,33.43059,684.3,100,99
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Non-Remnant Vegetation",684.3,33.43059,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Non-Remnant Vegetation",684.3,33.43059,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Non-Remnant Vegetation",684.3,33.43059,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Non-Remnant Vegetation",684.3,33.43057,0,0,80
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Non-Remnant Vegetation",684.3,33.43059,0,0,81
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Non-Remnant Vegetation",685.4,33.48479,1.1,0.16,81
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Non-Remnant Vegetation",685.4,33.48479,0,0,80
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Non-Remnant Vegetation",686.2,33.52468,0.8,0.12,81
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Non-Remnant Vegetation",686.3,33.52622,0,0,81
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Non-Remnant Vegetation",687.4,33.57976,1.1,0.16,81
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Non-Remnant Vegetation",691.9,33.80265,4.6,0.66,81
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Non-Remnant Vegetation",691.9,33.80265,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Non-Remnant Vegetation",691.9,33.80265,0,0,80
"Wet Tropics","Barron","Barron","remnant_2019",20.46932,"Non-Remnant Vegetation",691.9,33.80265,0,0,80
"Wet Tropics","Barron","Barron","remnant_2021",20.46932,"Non-Remnant Vegetation",682.2,33.32922,-9.7,-1.4,33
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Other Vegetation",672.1,32.83346,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Other Vegetation",194.8,9.51617,-477.3,-71.02,6
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Other Vegetation",194.8,9.51617,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Other Vegetation",194.8,9.51617,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Other Vegetation",194.8,9.51617,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Other Vegetation",194.8,9.51617,0,0,80
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Other Vegetation",194.8,9.51617,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Other Vegetation",193.7,9.46197,-1.1,-0.57,40
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Other Vegetation",193.7,9.46197,0,0,80
