Region,BasinOrZone,SubBasinOrSubZone,FinalScore,BarrierClassification,geom
Dry Tropics,Black,Black River,113.1568801985448,4.3,"c(447959.21077056, 7860882.6460261)"
Dry Tropics,Black,Black River,125.04984320098066,3,"c(457299.100815737, 7869118.74022678)"
Dry Tropics,Black,Black River,144.7264584067946,4.3,"c(456873.643595172, 7855652.70916337)"
Dry Tropics,Black,Black River,115.78453133654972,4.3,"c(451957.183707074, 7863704.23796107)"
Dry Tropics,Black,Black River,24.82507180453777,3,"c(456796.97920389, 7854937.2355439)"
Dry Tropics,Black,Black River,110,3,"c(456608.874145564, 7853919.6618065)"
Dry Tropics,Black,Black River,20.170427550683712,3,"c(456449.784179734, 7853552.47683971)"
Dry Tropics,Black,Black River,111.61052045743816,3,"c(456546.94297772, 7852799.71283157)"
Dry Tropics,Black,Black River,15.384329845723759,3,"c(456552.825539225, 7853818.18296801)"
Dry Tropics,Black,Black River,113.75608544027118,2,"c(446559.601644643, 7859749.19674209)"
Dry Tropics,Black,Black River,112.9486275570123,2,"c(446733.008862229, 7859952.06150764)"
Dry Tropics,Black,Black River,69.96154477812918,4,"c(445448.556976324, 7862300.86944576)"
Dry Tropics,Black,Black River,36.25305224590452,4,"c(450117.16083491, 7864061.84018382)"
Dry Tropics,Black,Black River,36.95145689665884,3,"c(451145.341674438, 7864744.37566582)"
Dry Tropics,Black,Black River,23.957508817760647,4,"c(451288.758134652, 7866011.35851939)"
Dry Tropics,Black,Black River,114.29645547315447,4.3,"c(445120.333588318, 7858872.29700508)"
Dry Tropics,Black,Black River,68.1317502488573,4,"c(452147.519496664, 7864022.12568545)"
Dry Tropics,Black,Bluewater Creek,300,4.3,"c(448002.38113076, 7884084.62900566)"
Dry Tropics,Black,Bluewater Creek,210,4.3,"c(447972.077276071, 7884027.61492587)"
Dry Tropics,Black,Bluewater Creek,200,4.3,"c(449068.52566032, 7883214.3019963)"
Dry Tropics,Black,Bluewater Creek,110,4.3,"c(449044.006820204, 7883126.75097882)"
Dry Tropics,Black,Bluewater Creek,NA,1,"c(447708.121729386, 7877604.31347495)"
Dry Tropics,Black,Bluewater Creek,100,4.3,"c(450907.036315781, 7881844.44134939)"
Dry Tropics,Black,Bluewater Creek,110,4.3,"c(450904.329271999, 7881486.07862519)"
Dry Tropics,Black,Bluewater Creek,385,4.3,"c(453281.646826373, 7879893.54185061)"
Dry Tropics,Black,Bluewater Creek,111.92271286420201,3,"c(445503.854153044, 7872016.2367654)"
Dry Tropics,Black,Bluewater Creek,142.15140498150248,4.3,"c(444319.374837333, 7873512.5284411)"
Dry Tropics,Black,Bluewater Creek,127.58801736977719,4.3,"c(441901.831139546, 7872537.64218502)"
Dry Tropics,Black,Bluewater Creek,195.48964779459416,3,"c(446319.889973469, 7871995.82095425)"
Dry Tropics,Black,Bluewater Creek,32.561487315778116,4,"c(447704.863728354, 7874667.80668413)"
Dry Tropics,Black,Bluewater Creek,51.915283601053986,3,"c(446060.215892427, 7873658.69392814)"
Dry Tropics,Black,Bluewater Creek,11,4.3,"c(446504.879547949, 7872696.91003579)"
Dry Tropics,Black,Bluewater Creek,27.474190165432706,2,"c(452920.151037502, 7869156.59133279)"
Dry Tropics,Black,Bluewater Creek,110,4.3,"c(452704.363726054, 7875916.44414456)"
Dry Tropics,Black,Bluewater Creek,136.9425518078651,4.3,"c(452563.941011129, 7876042.57672845)"
Dry Tropics,Black,Bluewater Creek,161.6120356345253,4.3,"c(451384.173876017, 7877102.17452507)"
Dry Tropics,Black,Bluewater Creek,62.12978950831618,3,"c(453681.928375281, 7870564.89965275)"
Dry Tropics,Black,Bluewater Creek,127.4741901654327,3,"c(452966.972474126, 7868989.84212969)"
Dry Tropics,Black,Bluewater Creek,113.7449842581544,4,"c(453873.292515103, 7871788.65440018)"
Dry Tropics,Black,Bluewater Creek,116.99247945570119,3,"c(454251.455992487, 7873721.72318285)"
Dry Tropics,Black,Bluewater Creek,199.8296712460528,4.3,"c(455120.319555789, 7877849.98255886)"
Dry Tropics,Black,Bluewater Creek,216.92410830759408,4.3,"c(455351.481883149, 7877620.1009119)"
Dry Tropics,Black,Bluewater Creek,163.82675420829622,3,"c(456053.839233225, 7872912.20470706)"
Dry Tropics,Black,Bluewater Creek,31.252117971117542,4.3,"c(454946.145102225, 7873904.27827936)"
Dry Tropics,Black,Bluewater Creek,11,4.3,"c(456984.740403973, 7874690.74476352)"
Dry Tropics,Black,Bluewater Creek,113.26519180919428,4.3,"c(456978.549795461, 7876407.25268482)"
Dry Tropics,Black,Bluewater Creek,95,4.3,"c(457066.896962558, 7874439.84077561)"
Dry Tropics,Black,Bluewater Creek,56.98785897222699,4.3,"c(457054.757753743, 7875956.40994292)"
Dry Tropics,Black,Bluewater Creek,110,3,"c(456802.545699841, 7872520.40579088)"
Dry Tropics,Ross,Bohle River,65.0841230114939,4.3,"c(465380.023273475, 7872355.8975626)"
Dry Tropics,Ross,Bohle River,114.45174561184983,2,"c(467730.310321625, 7870985.09002691)"
Dry Tropics,Ross,Bohle River,111.42526271416205,4.3,"c(467062.980048413, 7871451.58359212)"
Dry Tropics,Ross,Bohle River,35.97982249416016,4.3,"c(473743.114831031, 7869873.57064685)"
Dry Tropics,Ross,Bohle River,132.42175774260335,4.3,"c(469941.404626706, 7858865.78428304)"
Dry Tropics,Ross,Bohle River,134.95723356658883,2,"c(474183.223192762, 7869006.54138874)"
Dry Tropics,Ross,Bohle River,196,3,"c(467625.715445553, 7863509.19131044)"
Dry Tropics,Ross,Bohle River,30.66381847539609,4.3,"c(468754.416031331, 7863872.77293394)"
Dry Tropics,Ross,Bohle River,56.53861327385554,4.3,"c(469603.348543475, 7867003.85106591)"
Dry Tropics,Ross,Bohle River,110,3,"c(469965.17167471, 7866805.52362335)"
Dry Tropics,Ross,Bohle River,56.58538830440209,4.3,"c(464904.10278948, 7871660.17536107)"
Dry Tropics,Ross,Bohle River,126.17404396200142,2,"c(466645.640897742, 7867443.89519396)"
Dry Tropics,Ross,Bohle River,137.4130264840666,4.3,"c(469053.774435911, 7871601.30556708)"
Dry Tropics,Ross,Bohle River,174.29871302220803,2,"c(467257.105664747, 7875276.90240386)"
Dry Tropics,Ross,Bohle River,148.2419276482529,3,"c(461063.891868857, 7860273.48083626)"
Dry Tropics,Ross,Bohle River,116.78336565859658,3,"c(459370.105043965, 7861591.35127552)"
Dry Tropics,Ross,Bohle River,127.24683794696651,4.3,"c(473852.825995418, 7870189.45049845)"
Dry Tropics,Ross,Bohle River,122.38089073188205,1,"c(468548.402255086, 7856039.79725614)"
Dry Tropics,Ross,Bohle River,113.39633140857434,1,"c(468518.03470657, 7855710.68960584)"
Dry Tropics,Ross,Bohle River,52.92101737681951,1,"c(459754.059065269, 7860918.34558)"
Dry Tropics,Ross,Bohle River,150.09550457993737,4.3,"c(466843.960798009, 7857976.28587434)"
Dry Tropics,Ross,Bohle River,26.613959476457858,3,"c(469671.430520041, 7857114.16851745)"
Dry Tropics,Ross,Bohle River,141.3241022461213,4.3,"c(464792.767922079, 7869115.46122755)"
Dry Tropics,Ross,Bohle River,17.451543545287937,2,"c(467604.892191234, 7868974.65885084)"
Dry Tropics,Ross,Bohle River,116.85836169494459,4.3,"c(468276.778740939, 7863533.97562622)"
Dry Tropics,Ross,Bohle River,118.39381607551894,2,"c(468063.851642897, 7866880.4206956)"
Dry Tropics,Ross,Bohle River,98.75340334948987,4.3,"c(464706.830992681, 7871560.69565694)"
Dry Tropics,Ross,Bohle River,41.48406460599452,4.3,"c(473746.579894515, 7869577.52758068)"
Dry Tropics,Ross,Bohle River,202.50653948679872,3,"c(467002.151777768, 7876777.27256606)"
Dry Tropics,Ross,Bohle River,110,2,"c(468655.99796583, 7857158.52889082)"
Dry Tropics,Ross,Bohle River,77.49838401761188,2,"c(468687.619617725, 7857516.16390654)"
Dry Tropics,Ross,Bohle River,128.15759678994414,2,"c(467520.114164177, 7856435.58666719)"
Dry Tropics,Ross,Bohle River,120.8485977306418,1,"c(457968.299488961, 7858266.14996975)"
Dry Tropics,Ross,Bohle River,50.83698538016246,3,"c(458909.527074545, 7860184.70629149)"
Dry Tropics,Ross,Bohle River,59.28305412047774,4.2,"c(461791.334185793, 7860951.27180382)"
Dry Tropics,Ross,Bohle River,59.513710148004535,2,"c(468509.800640365, 7868892.47158929)"
Dry Tropics,Ross,Bohle River,23.580084191471677,2,"c(468375.963896164, 7869105.66761911)"
Dry Tropics,Ross,Bohle River,117.2111729484322,3,"c(467422.074307742, 7869059.21691158)"
Dry Tropics,Ross,Bohle River,116.64623834450042,3,"c(467385.065916775, 7868699.44111979)"
Dry Tropics,Ross,Bohle River,71.73291056430853,2,"c(463148.880642234, 7868993.79816266)"
Dry Tropics,Ross,Bohle River,43.12061953784642,2,"c(468618.132042352, 7856759.56440435)"
Dry Tropics,Ross,Bohle River,26.79085549388174,2,"c(469672.615102447, 7857353.95239464)"
Dry Tropics,Ross,Bohle River,125.04106472036877,2,"c(469761.335749401, 7856911.74558535)"
Dry Tropics,Ross,Bohle River,115.21004878160107,2,"c(468943.57827716, 7863126.61397263)"
Dry Tropics,Ross,Bohle River,153.2615115166828,4.3,"c(469044.856000548, 7870096.6170837)"
Dry Tropics,Ross,Bohle River,156.17558052476892,3,"c(461954.476986964, 7868304.98612821)"
Dry Tropics,Ross,Bohle River,56.17558052476891,2,"c(462069.579016587, 7868448.65314844)"
Dry Tropics,Ross,Bohle River,163.52131636265415,3,"c(462035.135696526, 7865405.3925237)"
Dry Tropics,Black,Crystal Creek,187.2431438944194,4.3,"c(425008.092370999, 7904667.44815319)"
