Code,Date,FY,Indicator,Units,Values,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat
BUR1,2015-05-31,2015,NOX,mg.L,7.25718e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-05-31,2015,PN,mg.L,0.024822918000000003,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2015-05-31,2015,PP,mg.L,0.003518192,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2015-05-31,2015,Secchi,m,4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2015-05-31,2015,TSS,mg.L,1.9375,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-06-16,2015,Chla,ug.L,0.3705,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-06-16,2015,TSS,mg.L,0.9,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-08-18,2016,Chla,ug.L,0.2275,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-08-18,2016,FRP,mg.L,0.005995792,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2015-08-18,2016,NOX,mg.L,0.007005,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-08-18,2016,Secchi,m,6.5,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2015-08-18,2016,TSS,mg.L,2.325,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-09-17,2016,Chla,ug.L,0.1243,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-09-17,2016,FRP,mg.L,0.001907752,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2015-09-17,2016,NOX,mg.L,8.462039999999999e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-09-17,2016,PN,mg.L,0.038285126999999995,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2015-09-17,2016,PP,mg.L,0.002474503,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2015-09-17,2016,Secchi,m,14,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2015-09-17,2016,TSS,mg.L,0.485,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-09-29,2016,Chla,ug.L,0.3825,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-09-29,2016,TSS,mg.L,2,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-11-23,2016,Chla,ug.L,0.22,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-11-23,2016,FRP,mg.L,0.004496843999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2015-11-23,2016,NOX,mg.L,0.002251407,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-11-23,2016,Secchi,m,6,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2015-11-23,2016,TSS,mg.L,3.025,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-01-02,2016,Chla,ug.L,0.585,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-01-02,2016,FRP,mg.L,0.002496182,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-01-02,2016,NOX,mg.L,0.009505785,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-01-02,2016,Secchi,m,5.5,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2016-01-02,2016,TSS,mg.L,2.1,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-01-15,2016,Chla,ug.L,0.2832,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-01-15,2016,FRP,mg.L,0.001381262,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-01-15,2016,NOX,mg.L,8.29392e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-01-15,2016,PN,mg.L,0.038478465,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2016-01-15,2016,PP,mg.L,0.002022341,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2016-01-15,2016,Secchi,m,13,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2016-01-15,2016,TSS,mg.L,0.49,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2016-02-07,2016,Chla,ug.L,0.275,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2016-02-07,2016,FRP,mg.L,0.0034965129999999997,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2016-02-07,2016,NOX,mg.L,0.0035025,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2016-02-07,2016,Secchi,m,4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
