Code,Date,FY,Indicator,Units,Values,Basin,Supplier,Region,Environment,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,Watercourse_Area,Watercourse_Proportion_of_Sub_Basin,Lat,Long,WQO,LOR,SF,Failure,Stat
AltC1.7,2020-09-17T12:56:15Z,2021,Turbidity,NTU,19.09,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,DIN,mg.L,0.005,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,High_DO,%.Sat,97.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,Low_DO,%.Sat,97.5,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,85,0.5,70,low,median
AltC1.7,2020-10-16T09:22:17Z,2021,TP,mg.L,0.014,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.025,0.003,0.04,high,median
AltC1.7,2020-10-16T09:22:17Z,2021,Turbidity,NTU,10.88,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,8,0.1,15,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,DIN,mg.L,0.004,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,0.09,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,FRP,mg.L,0.001,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,0.02,0.002,NA,high,median
AltC1.7,2020-11-13T11:38:30Z,2021,High_DO,%.Sat,99,Black,DES,DT,Estuarine,Bluewater Creek,Althaus Creek,277.65,0.5221635040340021,100.62,0.36239870340356567,-19.16563,146.59479,105,0.5,120,high,median
