Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Wet Tropics,Mulgrave,Mulgrave,Irrigated Agriculture,2009,1333.7,0.4,0,-1,-72.9,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Irrigated Agriculture,2015,1333.4,0,0,-0.3,-87.8,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Irrigated Agriculture,2021,1319.7,3.9,0.3,3.8,8599.5,2021 to 2015
Wet Tropics,Murray,Murray,Irrigated Agriculture,1999,1539.4,0.8,0.1,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Irrigated Agriculture,2009,1537.4,0.3,0,-0.5,-64.7,2009 to 1999
Wet Tropics,Murray,Murray,Irrigated Agriculture,2015,1538,0.1,0,-0.2,-78.7,2015 to 2009
Wet Tropics,Murray,Murray,Irrigated Agriculture,2021,1524.4,8.4,0.5,8.3,13613.8,2021 to 2015
Wet Tropics,Russell,Russell,Irrigated Agriculture,2015,696.3,0,0,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Irrigated Agriculture,2021,670.6,12,1.8,12,35985.5,2021 to 2015
Wet Tropics,Tully,Tully,Irrigated Agriculture,1999,1718.8,0.1,0,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Irrigated Agriculture,2009,1712.6,0,0,-0.1,-53.5,2009 to 1999
Wet Tropics,Tully,Tully,Irrigated Agriculture,2015,1713.5,0.1,0,0,50.3,2015 to 2009
Wet Tropics,Tully,Tully,Irrigated Agriculture,2021,1684.7,44.3,2.6,44.2,62666.1,2021 to 2015
Burdekin,Burdekin,Belyando,Mining,1999,36777.9,1,0,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Mining,2009,37000.2,1.8,0,0.7,73,2009 to 1999
Burdekin,Burdekin,Belyando,Mining,2016,36069.3,4.2,0,2.4,139.1,2016 to 2009
Burdekin,Burdekin,Belyando,Mining,2021,35439,27.2,0.1,23,547.2,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Mining,1999,12006.2,40.3,0.3,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Mining,2009,12202.7,52.8,0.4,12.5,31,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Mining,2016,12233.3,69,0.6,16.2,30.7,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Mining,2021,11728.8,83,0.7,14,20.3,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Mining,1999,20636,6.4,0,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Mining,2009,20639.9,6.7,0,0.4,5.6,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Mining,2016,20594,7.7,0,1,14.5,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Mining,2021,20457.9,9.3,0,1.6,20.6,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Mining,1999,3797.4,0.1,0,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Mining,2009,3804.7,0.6,0,0.5,381.5,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Mining,2016,3805.7,0.8,0,0.2,34.8,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Mining,2021,3760.1,0.8,0,-0,-0,2021 to 2016
Burdekin,Burdekin,Suttor,Mining,1999,19599.8,8.4,0,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Mining,2009,19664.5,26.8,0.1,18.4,219.9,2009 to 1999
Burdekin,Burdekin,Suttor,Mining,2016,19570.9,30,0.2,3.1,11.7,2016 to 2009
Burdekin,Burdekin,Suttor,Mining,2021,18220.2,51.5,0.3,21.6,72,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Mining,1999,40700.5,29,0.1,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Mining,2009,40700.4,34.9,0.1,5.9,20.2,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Mining,2016,40960.1,36,0.1,1.1,3.2,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Mining,2021,40508.9,39.2,0.1,3.2,8.8,2021 to 2016
Burdekin,Haughton,Haughton,Mining,1999,4159.6,2.2,0.1,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Mining,2009,4159.8,2.7,0.1,0.5,23.6,2009 to 1999
Burdekin,Haughton,Haughton,Mining,2016,4157.3,3.1,0.1,0.5,17.2,2016 to 2009
Burdekin,Haughton,Haughton,Mining,2021,4068.8,3.2,0.1,0.1,2.5,2021 to 2016
Dry Tropics,Black,Black River,Mining,1999,305.5,3.2,1.1,0,0,1999 to 1999
Dry Tropics,Black,Black River,Mining,2009,305,3.2,1.1,0,0,2009 to 1999
Dry Tropics,Black,Black River,Mining,2016,305.1,3.2,1.1,0,0,2016 to 2009
Dry Tropics,Black,Black River,Mining,2021,301.7,3.2,1.1,0,0,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Mining,1999,296.6,1,0.3,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Mining,2009,296.4,1.6,0.5,0.6,59.3,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Mining,2016,296.9,1.9,0.6,0.3,20.5,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Mining,2021,291.7,1.9,0.7,0,0,2021 to 2016
Dry Tropics,Black,Crystal Creek,Mining,1999,239.9,0,0,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Mining,2009,239.9,0,0,0,0,2009 to 1999
Dry Tropics,Black,Palm Islands,Mining,1999,86.4,0.1,0.1,0,0,1999 to 1999
Dry Tropics,Black,Palm Islands,Mining,2009,86.4,0,0,-0.1,-80.9,2009 to 1999
Dry Tropics,Black,Palm Islands,Mining,2016,86.4,0,0,0,0,2016 to 2009
Dry Tropics,Black,Palm Islands,Mining,2021,86.4,0,0,0,0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Mining,1999,224.2,0,0,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Mining,2009,224.2,0,0,0,94.2,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Mining,2016,224.3,0.1,0.1,0.1,175.9,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Mining,2021,222,0.1,0.1,0,0,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Mining,1999,368.4,0.1,0,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Mining,2009,369.3,0.1,0,0,11.8,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Mining,2016,369.6,0.3,0.1,0.1,127.3,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Mining,2021,360.4,0.3,0.1,0.1,29.9,2021 to 2016
Dry Tropics,Ross,Bohle River,Mining,1999,332.3,0.8,0.2,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Mining,2009,333,1.4,0.4,0.6,68.2,2009 to 1999
Dry Tropics,Ross,Bohle River,Mining,2016,331.3,1.6,0.5,0.2,14.6,2016 to 2009
Dry Tropics,Ross,Bohle River,Mining,2021,328.8,1.6,0.5,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Mining,1999,134.4,0.1,0.1,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Lower),Mining,2009,134,0.1,0.1,0,14.6,2009 to 1999
Dry Tropics,Ross,Ross River (Lower),Mining,2016,134,0.1,0.1,0,0,2016 to 2009
Dry Tropics,Ross,Ross River (Lower),Mining,2021,134,0.1,0.1,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Mining,1999,765.7,0.6,0.1,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Mining,2009,768,0.8,0.1,0.1,18.2,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Mining,2016,768.7,1.1,0.1,0.3,40.2,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Mining,2021,761.3,1.1,0.1,0,0,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Mining,1999,124.9,1.4,1.1,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Mining,2009,125,2.1,1.7,0.8,55,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Mining,2016,122.7,2.4,2,0.3,13.3,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Mining,2021,120.9,2.4,2,0,0,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Mining,1999,3922.2,2.3,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Mining,2009,3874.2,2.8,0.1,0.5,23.3,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Mining,2016,3867.1,3.4,0.1,0.6,21.2,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Mining,2021,3752.8,4.1,0.1,0.7,21.3,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Mining,1999,2445.9,1.7,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Mining,2009,2445.9,1.8,0.1,0.1,8.2,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Mining,2016,2445.9,1.9,0.1,0,1.7,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Mining,2021,2446,1.9,0.1,0,0.2,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Mining,1999,1571.1,0.8,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Mining,2009,1571.1,1,0.1,0.2,20.4,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Mining,2016,1571.1,1.4,0.1,0.3,32.5,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Mining,2021,1574.7,1.2,0.1,-0.2,-14.5,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Mining,1999,2559.5,1.6,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Mining,2009,2559.5,2,0.1,0.5,30.2,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Mining,2016,2559.5,2.6,0.1,0.6,27.5,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Mining,2021,2569.8,2.5,0.1,-0.1,-2.9,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Mining,1999,2772.1,0.9,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Mining,2009,2772.1,1.4,0.1,0.5,49.6,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Mining,2016,2772.1,1.4,0.1,0,1.7,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Mining,2021,2771.6,1.5,0.1,0,3.3,2021 to 2016
Wet Tropics,Barron,Barron,Mining,1999,2381.9,3.2,0.1,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Mining,2009,2368.8,3.5,0.1,0.4,12,2009 to 1999
Wet Tropics,Barron,Barron,Mining,2015,2385.5,3.8,0.2,0.3,7.7,2015 to 2009
Wet Tropics,Barron,Barron,Mining,2021,2193.2,3.7,0.2,-0.1,-1.7,2021 to 2015
Wet Tropics,Daintree,Daintree,Mining,1999,2123.2,0.1,0,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Mining,1999,10003.4,2.8,0,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Mining,2009,9996.8,3.7,0,1,35.1,2009 to 1999
Wet Tropics,Herbert,Herbert,Mining,2015,9952.5,4,0,0.2,5.9,2015 to 2009
Wet Tropics,Herbert,Herbert,Mining,2021,9873.2,5.5,0.1,1.5,38.3,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Mining,1999,2460.7,0.9,0,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Mining,2009,2457.4,1.2,0.1,0.4,46.8,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Mining,2015,2456.4,1.2,0,-0,-1.7,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Mining,2021,2317.8,1.2,0.1,-0,-0,2021 to 2015
Wet Tropics,Mossman,Mossman,Mining,1999,513.5,0.3,0.1,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Mining,2009,498,0.3,0.1,0,9.5,2009 to 1999
Wet Tropics,Mossman,Mossman,Mining,2015,496,0.3,0.1,0,0,2015 to 2009
Wet Tropics,Mossman,Mossman,Mining,2021,465.4,0.4,0.1,0.1,18.1,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Mining,1999,1333.4,1,0.1,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Mining,2009,1333.7,1.1,0.1,0.1,8,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Mining,2015,1333.4,1.1,0.1,0,2.6,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Mining,2021,1319.7,1.2,0.1,0.1,5.6,2021 to 2015
Wet Tropics,Murray,Murray,Mining,1999,1539.4,0.3,0,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Mining,2009,1537.4,0.3,0,0,0,2009 to 1999
Wet Tropics,Murray,Murray,Mining,2015,1538,0.4,0,0.1,48.3,2015 to 2009
Wet Tropics,Murray,Murray,Mining,2021,1524.4,0.4,0,0,0,2021 to 2015
Wet Tropics,Russell,Russell,Mining,1999,718.7,0.1,0,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Mining,2009,695.9,0.1,0,0,39.3,2009 to 1999
Wet Tropics,Russell,Russell,Mining,2015,696.3,0.1,0,-0,-17.9,2015 to 2009
Wet Tropics,Russell,Russell,Mining,2021,670.6,0.1,0,-0,-4.6,2021 to 2015
Wet Tropics,Tully,Tully,Mining,1999,1718.8,0.4,0,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Mining,2009,1712.6,0.5,0,0.2,40.2,2009 to 1999
Wet Tropics,Tully,Tully,Mining,2015,1713.5,0.6,0,0,8.7,2015 to 2009
Wet Tropics,Tully,Tully,Mining,2021,1684.7,0.6,0,0,6.3,2021 to 2015
Burdekin,Burdekin,Belyando,Urban/Intensive,1999,36777.9,37,0.1,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Urban/Intensive,2009,37000.2,44.5,0.1,7.5,20.3,2009 to 1999
Burdekin,Burdekin,Belyando,Urban/Intensive,2016,36069.3,47.6,0.1,3.2,7.1,2016 to 2009
Burdekin,Burdekin,Belyando,Urban/Intensive,2021,35439,29.5,0.1,-18.2,-38.1,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Urban/Intensive,1999,12006.2,22.5,0.2,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Urban/Intensive,2009,12202.7,27.1,0.2,4.6,20.5,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Urban/Intensive,2016,12233.3,24.7,0.2,-2.3,-8.6,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Urban/Intensive,2021,11728.8,34.4,0.3,9.7,39.2,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Urban/Intensive,1999,20636,19.3,0.1,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Urban/Intensive,2009,20639.9,22,0.1,2.6,13.7,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Urban/Intensive,2016,20594,23.8,0.1,1.8,8.2,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Urban/Intensive,2021,20457.9,20.1,0.1,-3.6,-15.3,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Urban/Intensive,1999,3797.4,12.5,0.3,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Urban/Intensive,2009,3804.7,23.7,0.6,11.3,90.5,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Urban/Intensive,2016,3805.7,33.6,0.9,9.8,41.3,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Urban/Intensive,2021,3760.1,12.5,0.3,-21,-62.7,2021 to 2016
Burdekin,Burdekin,Suttor,Urban/Intensive,1999,19599.8,20.7,0.1,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Urban/Intensive,2009,19664.5,32.7,0.2,12,58,2009 to 1999
Burdekin,Burdekin,Suttor,Urban/Intensive,2016,19570.9,32.8,0.2,0.1,0.2,2016 to 2009
Burdekin,Burdekin,Suttor,Urban/Intensive,2021,18220.2,17.2,0.1,-15.6,-47.6,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Urban/Intensive,1999,40700.5,87.8,0.2,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Urban/Intensive,2009,40700.4,104.3,0.3,16.5,18.8,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Urban/Intensive,2016,40960.1,113.1,0.3,8.8,8.4,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Urban/Intensive,2021,40508.9,116.7,0.3,3.7,3.2,2021 to 2016
Burdekin,Haughton,Haughton,Urban/Intensive,1999,4159.6,86.7,2.1,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Urban/Intensive,2009,4159.8,115.8,2.8,29.1,33.5,2009 to 1999
Burdekin,Haughton,Haughton,Urban/Intensive,2016,4157.3,123.1,3,7.3,6.3,2016 to 2009
Burdekin,Haughton,Haughton,Urban/Intensive,2021,4068.8,71.3,1.8,-51.8,-42.1,2021 to 2016
Dry Tropics,Black,Black River,Urban/Intensive,1999,305.5,25.3,8.3,0,0,1999 to 1999
Dry Tropics,Black,Black River,Urban/Intensive,2009,305,29,9.5,3.8,14.9,2009 to 1999
Dry Tropics,Black,Black River,Urban/Intensive,2016,305.1,30.1,9.9,1,3.5,2016 to 2009
Dry Tropics,Black,Black River,Urban/Intensive,2021,301.7,29.2,9.7,-0.9,-2.9,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Urban/Intensive,1999,296.6,20.5,6.9,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Urban/Intensive,2009,296.4,20.8,7,0.3,1.7,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Urban/Intensive,2016,296.9,21.4,7.2,0.6,2.7,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Urban/Intensive,2021,291.7,20.6,7.1,-0.8,-3.7,2021 to 2016
Dry Tropics,Black,Crystal Creek,Urban/Intensive,1999,239.9,7.8,3.3,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Urban/Intensive,2009,239.9,8.1,3.4,0.3,4,2009 to 1999
Dry Tropics,Black,Crystal Creek,Urban/Intensive,2016,239.7,8.4,3.5,0.3,3.5,2016 to 2009
Dry Tropics,Black,Crystal Creek,Urban/Intensive,2021,239.1,5.3,2.2,-3.1,-36.7,2021 to 2016
Dry Tropics,Black,Palm Islands,Urban/Intensive,1999,86.4,1.2,1.4,0,0,1999 to 1999
Dry Tropics,Black,Palm Islands,Urban/Intensive,2009,86.4,1.2,1.4,0,0,2009 to 1999
Dry Tropics,Black,Palm Islands,Urban/Intensive,2016,86.4,1.3,1.6,0.1,8.9,2016 to 2009
Dry Tropics,Black,Palm Islands,Urban/Intensive,2021,86.4,1.3,1.6,-0,-0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Urban/Intensive,1999,224.2,7.9,3.5,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Urban/Intensive,2009,224.2,8,3.6,0.2,2.2,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Urban/Intensive,2016,224.3,8.2,3.7,0.2,2.4,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Urban/Intensive,2021,222,5.6,2.5,-2.6,-31.5,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Urban/Intensive,1999,368.4,26.7,7.2,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Urban/Intensive,2009,369.3,27.7,7.5,1.1,4,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Urban/Intensive,2016,369.6,27.9,7.5,0.2,0.6,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Urban/Intensive,2021,360.4,26.6,7.4,-1.4,-4.9,2021 to 2016
Dry Tropics,Ross,Bohle River,Urban/Intensive,1999,332.3,61.3,18.4,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Urban/Intensive,2009,333,80.8,24.3,19.5,31.9,2009 to 1999
Dry Tropics,Ross,Bohle River,Urban/Intensive,2016,331.3,89,26.9,8.3,10.2,2016 to 2009
Dry Tropics,Ross,Bohle River,Urban/Intensive,2021,328.8,86.7,26.4,-2.3,-2.6,2021 to 2016
Dry Tropics,Ross,Magnetic Island,Urban/Intensive,1999,50.8,5.2,10.3,0,0,1999 to 1999
Dry Tropics,Ross,Magnetic Island,Urban/Intensive,2009,50.8,5.6,11,0.3,6.6,2009 to 1999
Dry Tropics,Ross,Magnetic Island,Urban/Intensive,2016,50.8,5.8,11.4,0.2,3.7,2016 to 2009
Dry Tropics,Ross,Magnetic Island,Urban/Intensive,2021,50.8,5.8,11.4,-0,-0,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Urban/Intensive,1999,134.4,70.1,52.2,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Lower),Urban/Intensive,2009,134,74.3,55.4,4.2,5.9,2009 to 1999
Dry Tropics,Ross,Ross River (Lower),Urban/Intensive,2016,134,76.4,57,2.1,2.8,2016 to 2009
Dry Tropics,Ross,Ross River (Lower),Urban/Intensive,2021,134,76.9,57.4,0.6,0.8,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Urban/Intensive,1999,765.7,15.1,2,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Urban/Intensive,2009,768,17.3,2.3,2.2,14.4,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Urban/Intensive,2016,768.7,17.6,2.3,0.2,1.4,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Urban/Intensive,2021,761.3,13.8,1.8,-3.8,-21.4,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Urban/Intensive,1999,124.9,9.5,7.6,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Urban/Intensive,2009,125,11.9,9.5,2.4,25.4,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Urban/Intensive,2016,122.7,12.6,10.3,0.7,6,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Urban/Intensive,2021,120.9,13.8,11.4,1.2,9.6,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Urban/Intensive,1999,3922.2,140,3.6,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Urban/Intensive,2009,3874.2,160.1,4.1,20.1,14.4,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Urban/Intensive,2016,3867.1,174.3,4.5,14.2,8.9,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Urban/Intensive,2021,3752.8,52.4,1.4,-121.9,-70,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Urban/Intensive,1999,2445.9,79.2,3.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Urban/Intensive,2009,2445.9,91.2,3.7,12,15.1,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Urban/Intensive,2016,2445.9,94.5,3.9,3.4,3.7,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Urban/Intensive,2021,2446,94.8,3.9,0.3,0.3,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Urban/Intensive,1999,1571.1,58.2,3.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Urban/Intensive,2009,1571.1,64.4,4.1,6.2,10.6,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Urban/Intensive,2016,1571.1,66.8,4.3,2.4,3.8,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Urban/Intensive,2021,1574.7,68,4.3,1.2,1.7,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Urban/Intensive,1999,2559.5,120.1,4.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Urban/Intensive,2009,2559.5,135.6,5.3,15.5,12.9,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Urban/Intensive,2016,2559.5,141.3,5.5,5.8,4.3,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Urban/Intensive,2021,2569.8,136.4,5.3,-5,-3.5,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Urban/Intensive,1999,2772.1,69.5,2.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Urban/Intensive,2009,2772.1,83.5,3,14.1,20.3,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Urban/Intensive,2016,2772.1,89.1,3.2,5.6,6.7,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Urban/Intensive,2021,2771.6,97.8,3.5,8.6,9.7,2021 to 2016
Wet Tropics,Barron,Barron,Urban/Intensive,1999,2381.9,224.2,9.4,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Urban/Intensive,2009,2368.8,229.9,9.7,5.7,2.5,2009 to 1999
Wet Tropics,Barron,Barron,Urban/Intensive,2015,2385.5,237.5,10,7.6,3.3,2015 to 2009
Wet Tropics,Barron,Barron,Urban/Intensive,2021,2193.2,173.9,7.9,-63.6,-26.8,2021 to 2015
Wet Tropics,Daintree,Daintree,Urban/Intensive,1999,2123.2,23.5,1.1,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Urban/Intensive,2009,2120.5,27.1,1.3,3.6,15.3,2009 to 1999
Wet Tropics,Daintree,Daintree,Urban/Intensive,2015,2115.6,27.3,1.3,0.3,1,2015 to 2009
Wet Tropics,Daintree,Daintree,Urban/Intensive,2021,2104.6,27.4,1.3,0.1,0.4,2021 to 2015
Wet Tropics,Herbert,Herbert,Urban/Intensive,1999,10003.4,88.3,0.9,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Urban/Intensive,2009,9996.8,94.5,0.9,6.2,7,2009 to 1999
Wet Tropics,Herbert,Herbert,Urban/Intensive,2015,9952.5,98.4,1,3.9,4.1,2015 to 2009
Wet Tropics,Herbert,Herbert,Urban/Intensive,2021,9873.2,80.9,0.8,-17.5,-17.8,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Urban/Intensive,1999,2460.7,144,5.9,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Urban/Intensive,2009,2457.4,146,5.9,2,1.4,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Urban/Intensive,2015,2456.4,147.1,6,1,0.7,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Urban/Intensive,2021,2317.8,81.5,3.5,-65.6,-44.6,2021 to 2015
Wet Tropics,Mossman,Mossman,Urban/Intensive,1999,513.5,25.7,5,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Urban/Intensive,2009,498,29.6,6,4,15.4,2009 to 1999
Wet Tropics,Mossman,Mossman,Urban/Intensive,2015,496,31.1,6.3,1.4,4.8,2015 to 2009
Wet Tropics,Mossman,Mossman,Urban/Intensive,2021,465.4,33.1,7.1,2.1,6.7,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Urban/Intensive,1999,1333.4,74.3,5.6,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Urban/Intensive,2009,1333.7,82.4,6.2,8.1,10.9,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Urban/Intensive,2015,1333.4,84.7,6.4,2.3,2.8,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Urban/Intensive,2021,1319.7,87.6,6.6,2.9,3.4,2021 to 2015
Wet Tropics,Murray,Murray,Urban/Intensive,1999,1539.4,36.5,2.4,0,0,1999 to 1999
