Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Wet Tropics,Mossman,NA,Water,2021,465.4,20.7,4.5,0,0,2021 to 2015
Wet Tropics,Mulgrave,NA,Water,1999,1333.4,91.3,6.9,0,0,1999 to 1999
Wet Tropics,Mulgrave,NA,Water,2009,1333.7,89,6.7,-2.4,-2.6,2009 to 1999
Wet Tropics,Mulgrave,NA,Water,2015,1333.4,89,6.7,0,0,2015 to 2009
Wet Tropics,Mulgrave,NA,Water,2021,1319.7,90.9,6.9,1.9,2.2,2021 to 2015
Wet Tropics,Murray,NA,Water,1999,1539.4,67,4.3,0,0,1999 to 1999
Wet Tropics,Murray,NA,Water,2009,1537.4,53.1,3.5,-13.8,-20.7,2009 to 1999
Wet Tropics,Murray,NA,Water,2015,1538,52.6,3.4,-0.5,-1,2015 to 2009
Wet Tropics,Murray,NA,Water,2021,1524.4,52.6,3.4,0,0,2021 to 2015
Wet Tropics,Russell,NA,Water,1999,718.7,19.5,2.7,0,0,1999 to 1999
Wet Tropics,Russell,NA,Water,2009,695.9,19.4,2.8,-0,-0.1,2009 to 1999
Wet Tropics,Russell,NA,Water,2015,696.3,19.4,2.8,0,0,2015 to 2009
Wet Tropics,Russell,NA,Water,2021,670.6,19.2,2.9,-0.3,-1.4,2021 to 2015
Wet Tropics,Tully,NA,Water,1999,1718.8,43.7,2.5,0,0,1999 to 1999
Wet Tropics,Tully,NA,Water,2009,1712.6,43.7,2.6,0,0,2009 to 1999
Wet Tropics,Tully,NA,Water,2015,1713.5,43.9,2.6,0.2,0.4,2015 to 2009
Wet Tropics,Tully,NA,Water,2021,1684.7,43.9,2.6,0,0.1,2021 to 2015
Burdekin,Burdekin,Belyando,Conservation,1999,36777.9,645.1,1.8,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Conservation,2009,37000.2,810.6,2.2,165.5,25.7,2009 to 1999
Burdekin,Burdekin,Belyando,Conservation,2016,36069.3,815.9,2.3,5.3,0.7,2016 to 2009
Burdekin,Burdekin,Belyando,Conservation,2021,35439,849.5,2.4,33.6,4.1,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Conservation,1999,12006.2,767,6.4,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Conservation,2009,12202.7,883.8,7.2,116.7,15.2,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Conservation,2016,12233.3,960.6,7.9,76.8,8.7,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Conservation,2021,11728.8,910.3,7.8,-50.2,-5.2,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Conservation,1999,20636,673.8,3.3,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Conservation,2009,20639.9,673.5,3.3,-0.3,-0,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Conservation,2016,20594,672.7,3.3,-0.9,-0.1,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Conservation,2021,20457.9,584.8,2.9,-87.9,-13.1,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Conservation,1999,3797.4,46.8,1.2,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Conservation,2009,3804.7,46.4,1.2,-0.4,-0.9,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Conservation,2016,3805.7,46.4,1.2,0,0.1,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Conservation,2021,3760.1,184.9,4.9,138.5,298.7,2021 to 2016
Burdekin,Burdekin,Suttor,Conservation,1999,19599.8,405.3,2.1,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Conservation,2009,19664.5,421.9,2.1,16.7,4.1,2009 to 1999
Burdekin,Burdekin,Suttor,Conservation,2016,19570.9,420.6,2.1,-1.3,-0.3,2016 to 2009
Burdekin,Burdekin,Suttor,Conservation,2021,18220.2,373.3,2,-47.3,-11.2,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Conservation,1999,40700.5,3034.9,7.5,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Conservation,2009,40700.4,4245.1,10.4,1210.2,39.9,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Conservation,2016,40960.1,4963.6,12.1,718.5,16.9,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Conservation,2021,40508.9,7971.1,19.7,3007.5,60.6,2021 to 2016
Burdekin,Haughton,Haughton,Conservation,1999,4159.6,564.1,13.6,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Conservation,2009,4159.8,584.7,14.1,20.7,3.7,2009 to 1999
Burdekin,Haughton,Haughton,Conservation,2016,4157.3,596.1,14.3,11.3,1.9,2016 to 2009
Burdekin,Haughton,Haughton,Conservation,2021,4068.8,553.5,13.6,-42.6,-7.1,2021 to 2016
Dry Tropics,Black,Black River,Conservation,1999,305.5,37.8,12.4,0,0,1999 to 1999
