Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_1071,49,2000-03-31,2000,Mar,2000,888,628,70,48,87,260,-21,141.4,70
Burdekin,Burdekin,n3_rainfall_1072,128,2000-04-30,2000,Apr,2000,888,628,29,100,87,260,99,141.4,441.4
Burdekin,Burdekin,n3_rainfall_1073,27,2000-05-31,2000,May,2000,888,628,22,72,87,260,5,141.4,122.7
Burdekin,Burdekin,n3_rainfall_1074,57,2000-06-30,2000,Jun,2000,888,628,23,93,87,260,34,141.4,247.8
Burdekin,Burdekin,n3_rainfall_1075,1,2000-07-31,2000,Jul,2001,703,628,18,7,67,75,-17,111.9,5.6
Burdekin,Burdekin,n3_rainfall_1076,6,2000-08-31,2000,Aug,2001,703,628,14,55,67,75,-8,111.9,42.9
Burdekin,Burdekin,n3_rainfall_1077,0,2000-09-30,2000,Sep,2001,703,628,12,0,67,75,-12,111.9,0
Burdekin,Burdekin,n3_rainfall_1078,72,2000-10-31,2000,Oct,2001,703,628,24,93,67,75,48,111.9,300
Burdekin,Burdekin,n3_rainfall_1079,170,2000-11-30,2000,Nov,2001,703,628,52,97,67,75,118,111.9,326.9
Burdekin,Burdekin,n3_rainfall_1080,196,2000-12-31,2000,Dec,2001,703,628,83,97,67,75,113,111.9,236.1
Burdekin,Burdekin,n3_rainfall_1081,68,2001-01-31,2001,Jan,2001,703,628,138,17,67,75,-70,111.9,49.3
Burdekin,Burdekin,n3_rainfall_1082,103,2001-02-28,2001,Feb,2001,703,628,142,34,67,75,-39,111.9,72.5
Burdekin,Burdekin,n3_rainfall_1083,66,2001-03-31,2001,Mar,2001,703,628,70,62,67,75,-4,111.9,94.3
Burdekin,Burdekin,n3_rainfall_1084,10,2001-04-30,2001,Apr,2001,703,628,29,34,67,75,-19,111.9,34.5
Burdekin,Burdekin,n3_rainfall_1085,1,2001-05-31,2001,May,2001,703,628,22,0,67,75,-21,111.9,4.5
Burdekin,Burdekin,n3_rainfall_1086,10,2001-06-30,2001,Jun,2001,703,628,23,48,67,75,-13,111.9,43.5
Burdekin,Burdekin,n3_rainfall_1087,17,2001-07-31,2001,Jul,2002,509,628,18,76,43,-119,-1,81.1,94.4
Burdekin,Burdekin,n3_rainfall_1088,0,2001-08-31,2001,Aug,2002,509,628,14,0,43,-119,-14,81.1,0
Burdekin,Burdekin,n3_rainfall_1089,5,2001-09-30,2001,Sep,2002,509,628,12,52,43,-119,-7,81.1,41.7
Burdekin,Burdekin,n3_rainfall_1090,24,2001-10-31,2001,Oct,2002,509,628,24,72,43,-119,0,81.1,100
Burdekin,Burdekin,n3_rainfall_1091,76,2001-11-30,2001,Nov,2002,509,628,52,79,43,-119,24,81.1,146.2
Burdekin,Burdekin,n3_rainfall_1092,54,2001-12-31,2001,Dec,2002,509,628,83,38,43,-119,-29,81.1,65.1
Burdekin,Burdekin,n3_rainfall_1093,123,2002-01-31,2002,Jan,2002,509,628,138,41,43,-119,-15,81.1,89.1
Burdekin,Burdekin,n3_rainfall_1094,170,2002-02-28,2002,Feb,2002,509,628,142,69,43,-119,28,81.1,119.7
Burdekin,Burdekin,n3_rainfall_1095,20,2002-03-31,2002,Mar,2002,509,628,70,17,43,-119,-50,81.1,28.6
Burdekin,Burdekin,n3_rainfall_1096,3,2002-04-30,2002,Apr,2002,509,628,29,3,43,-119,-26,81.1,10.3
Burdekin,Burdekin,n3_rainfall_1097,10,2002-05-31,2002,May,2002,509,628,22,34,43,-119,-12,81.1,45.5
Burdekin,Burdekin,n3_rainfall_1098,7,2002-06-30,2002,Jun,2002,509,628,23,38,43,-119,-16,81.1,30.4
Burdekin,Burdekin,n3_rainfall_1099,0,2002-07-31,2002,Jul,2003,401,628,18,0,10,-227,-18,63.9,0
Burdekin,Burdekin,n3_rainfall_1100,18,2002-08-31,2002,Aug,2003,401,628,14,79,10,-227,4,63.9,128.6
Burdekin,Burdekin,n3_rainfall_1101,1,2002-09-30,2002,Sep,2003,401,628,12,24,10,-227,-11,63.9,8.3
Burdekin,Burdekin,n3_rainfall_1102,0,2002-10-31,2002,Oct,2003,401,628,24,0,10,-227,-24,63.9,0
Burdekin,Burdekin,n3_rainfall_1103,5,2002-11-30,2002,Nov,2003,401,628,52,3,10,-227,-47,63.9,9.6
Burdekin,Burdekin,n3_rainfall_1104,22,2002-12-31,2002,Dec,2003,401,628,83,7,10,-227,-61,63.9,26.5
Burdekin,Burdekin,n3_rainfall_1105,26,2003-01-31,2003,Jan,2003,401,628,138,0,10,-227,-112,63.9,18.8
Burdekin,Burdekin,n3_rainfall_1106,203,2003-02-28,2003,Feb,2003,401,628,142,79,10,-227,61,63.9,143
Burdekin,Burdekin,n3_rainfall_1107,62,2003-03-31,2003,Mar,2003,401,628,70,59,10,-227,-8,63.9,88.6
Burdekin,Burdekin,n3_rainfall_1108,12,2003-04-30,2003,Apr,2003,401,628,29,45,10,-227,-17,63.9,41.4
Burdekin,Burdekin,n3_rainfall_1109,18,2003-05-31,2003,May,2003,401,628,22,59,10,-227,-4,63.9,81.8
Burdekin,Burdekin,n3_rainfall_1110,34,2003-06-30,2003,Jun,2003,401,628,23,90,10,-227,11,63.9,147.8
Burdekin,Burdekin,n3_rainfall_1111,2,2003-07-31,2003,Jul,2004,451,628,18,21,17,-177,-16,71.8,11.1
Burdekin,Burdekin,n3_rainfall_1112,13,2003-08-31,2003,Aug,2004,451,628,14,69,17,-177,-1,71.8,92.9
Burdekin,Burdekin,n3_rainfall_1113,0,2003-09-30,2003,Sep,2004,451,628,12,0,17,-177,-12,71.8,0
Burdekin,Burdekin,n3_rainfall_1114,23,2003-10-31,2003,Oct,2004,451,628,24,66,17,-177,-1,71.8,95.8
Burdekin,Burdekin,n3_rainfall_1115,4,2003-11-30,2003,Nov,2004,451,628,52,0,17,-177,-48,71.8,7.7
Burdekin,Burdekin,n3_rainfall_1116,106,2003-12-31,2003,Dec,2004,451,628,83,76,17,-177,23,71.8,127.7
Burdekin,Burdekin,n3_rainfall_1117,155,2004-01-31,2004,Jan,2004,451,628,138,66,17,-177,17,71.8,112.3
Burdekin,Burdekin,n3_rainfall_1118,101,2004-02-29,2004,Feb,2004,451,628,142,31,17,-177,-41,71.8,71.1
Burdekin,Burdekin,n3_rainfall_1119,15,2004-03-31,2004,Mar,2004,451,628,70,10,17,-177,-55,71.8,21.4
Burdekin,Burdekin,n3_rainfall_1120,27,2004-04-30,2004,Apr,2004,451,628,29,59,17,-177,-2,71.8,93.1
Burdekin,Burdekin,n3_rainfall_1121,4,2004-05-31,2004,May,2004,451,628,22,10,17,-177,-18,71.8,18.2
Burdekin,Burdekin,n3_rainfall_1122,1,2004-06-30,2004,Jun,2004,451,628,23,0,17,-177,-22,71.8,4.3
Burdekin,Burdekin,n3_rainfall_1123,4,2004-07-31,2004,Jul,2005,483,628,18,45,23,-145,-14,76.9,22.2
Burdekin,Burdekin,n3_rainfall_1124,1,2004-08-31,2004,Aug,2005,483,628,14,21,23,-145,-13,76.9,7.1
Burdekin,Burdekin,n3_rainfall_1125,5,2004-09-30,2004,Sep,2005,483,628,12,52,23,-145,-7,76.9,41.7
Burdekin,Burdekin,n3_rainfall_1126,15,2004-10-31,2004,Oct,2005,483,628,24,55,23,-145,-9,76.9,62.5
Burdekin,Burdekin,n3_rainfall_1127,36,2004-11-30,2004,Nov,2005,483,628,52,59,23,-145,-16,76.9,69.2
Burdekin,Burdekin,n3_rainfall_1128,94,2004-12-31,2004,Dec,2005,483,628,83,69,23,-145,11,76.9,113.3
Burdekin,Burdekin,n3_rainfall_1129,224,2005-01-31,2005,Jan,2005,483,628,138,90,23,-145,86,76.9,162.3
Burdekin,Burdekin,n3_rainfall_1130,35,2005-02-28,2005,Feb,2005,483,628,142,7,23,-145,-107,76.9,24.6
Burdekin,Burdekin,n3_rainfall_1131,9,2005-03-31,2005,Mar,2005,483,628,70,3,23,-145,-61,76.9,12.9
Burdekin,Burdekin,n3_rainfall_1132,9,2005-04-30,2005,Apr,2005,483,628,29,31,23,-145,-20,76.9,31
Burdekin,Burdekin,n3_rainfall_1133,21,2005-05-31,2005,May,2005,483,628,22,69,23,-145,-1,76.9,95.5
Burdekin,Burdekin,n3_rainfall_1134,30,2005-06-30,2005,Jun,2005,483,628,23,76,23,-145,7,76.9,130.4
Burdekin,Burdekin,n3_rainfall_1135,32,2005-07-31,2005,Jul,2006,606,628,18,83,50,-22,14,96.5,177.8
Burdekin,Burdekin,n3_rainfall_1136,44,2005-08-31,2005,Aug,2006,606,628,14,90,50,-22,30,96.5,314.3
Burdekin,Burdekin,n3_rainfall_1137,2,2005-09-30,2005,Sep,2006,606,628,12,34,50,-22,-10,96.5,16.7
Burdekin,Burdekin,n3_rainfall_1138,49,2005-10-31,2005,Oct,2006,606,628,24,86,50,-22,25,96.5,204.2
Burdekin,Burdekin,n3_rainfall_1139,24,2005-11-30,2005,Nov,2006,606,628,52,34,50,-22,-28,96.5,46.2
Burdekin,Burdekin,n3_rainfall_1140,36,2005-12-31,2005,Dec,2006,606,628,83,24,50,-22,-47,96.5,43.4
Burdekin,Burdekin,n3_rainfall_1141,111,2006-01-31,2006,Jan,2006,606,628,138,38,50,-22,-27,96.5,80.4
Burdekin,Burdekin,n3_rainfall_1142,34,2006-02-28,2006,Feb,2006,606,628,142,3,50,-22,-108,96.5,23.9
Burdekin,Burdekin,n3_rainfall_1143,91,2006-03-31,2006,Mar,2006,606,628,70,69,50,-22,21,96.5,130
Burdekin,Burdekin,n3_rainfall_1144,122,2006-04-30,2006,Apr,2006,606,628,29,97,50,-22,93,96.5,420.7
Burdekin,Burdekin,n3_rainfall_1145,31,2006-05-31,2006,May,2006,606,628,22,76,50,-22,9,96.5,140.9
